DATE,DCOILBRENTEU
2018/12/10,60.29
2018/12/11,59.73
2018/12/12,59.94
2018/12/13,59.03
2018/12/14,58.56
2018/12/17,57.59
2018/12/18,55.26
2018/12/19,55.6
2018/12/20,52.84
2018/12/21,51.93
2018/12/24,.
2018/12/25,.
2018/12/26,.
2018/12/27,51.49
2018/12/28,50.57
2018/12/31,.
2019/1/1,.
2019/1/2,54.06
2019/1/3,53.23
2019/1/4,55.64
2019/1/7,57.1
2019/1/8,56.91
2019/1/9,59.46
2019/1/10,60.47
2019/1/11,59.24
2019/1/14,58.8
2019/1/15,58.65
2019/1/16,59.81
2019/1/17,59.85
2019/1/18,62.04
2019/1/21,62.18
2019/1/22,60.9
2019/1/23,61.05
2019/1/24,61.09
2019/1/25,61.49
2019/1/28,59.71
2019/1/29,60.98
2019/1/30,61.89
2019/1/31,62.46
2019/2/1,61.86
2019/2/4,62.26
2019/2/5,61.67
2019/2/6,62.22
2019/2/7,61.01
2019/2/8,61.37
2019/2/11,61.3
2019/2/12,62.58
2019/2/13,63.27
2019/2/14,64
2019/2/15,65.65
2019/2/18,66.41
2019/2/19,65.86
2019/2/20,66.82
2019/2/21,66.91
2019/2/22,66.91
2019/2/25,64.02
2019/2/26,64.51
2019/2/27,65.55
2019/2/28,65.03
2019/3/1,63.71
2019/3/4,64.44
2019/3/5,64.24
2019/3/6,64.51
2019/3/7,64.82
2019/3/8,65.66
2019/3/11,65.06
2019/3/12,65.33
2019/3/13,65.89
2019/3/14,66.18
2019/3/15,66.11
2019/3/18,66.65
2019/3/19,67.13
2019/3/20,68.35
2019/3/21,68.3
2019/3/22,66.29
2019/3/25,67.37
2019/3/26,67.51
2019/3/27,67.35
2019/3/28,66.08
2019/3/29,67.93
2019/4/1,69.08
2019/4/2,69.68
2019/4/3,69.21
2019/4/4,69.8
2019/4/5,69.93
2019/4/8,71.12
2019/4/9,71.02
2019/4/10,71.63
2019/4/11,71.3
2019/4/12,71.57
2019/4/15,70.9
2019/4/16,70.74
2019/4/17,71.14
2019/4/18,70.71
2019/4/19,.
2019/4/22,70.71
2019/4/23,74.39
2019/4/24,73.59
2019/4/25,74.94
2019/4/26,71.03
2019/4/29,71.22
2019/4/30,72.19
2019/5/1,72.01
2019/5/2,70.56
2019/5/3,71.95
2019/5/6,71.95
2019/5/7,70.98
2019/5/8,71.09
2019/5/9,70.61
2019/5/10,71.63
2019/5/13,72.35
2019/5/14,72.53
2019/5/15,73.09
2019/5/16,74.7
2019/5/17,73.94
2019/5/20,73.21
2019/5/21,72.94
2019/5/22,71.94
2019/5/23,68.37
2019/5/24,67.98
2019/5/27,.
2019/5/28,70.19
2019/5/29,70.64
2019/5/30,69.55
2019/5/31,66.78
2019/6/3,63.16
2019/6/4,63.56
2019/6/5,62.14
2019/6/6,62.77
2019/6/7,64.1
2019/6/10,64.31
2019/6/11,63.56
2019/6/12,61.66
2019/6/13,63.28
2019/6/14,63.13
2019/6/17,62.56
2019/6/18,63.35
2019/6/19,62.85
2019/6/20,65.44
2019/6/21,65.99
2019/6/24,65.16
2019/6/25,66.24
2019/6/26,66.85
2019/6/27,66.78
2019/6/28,67.52
2019/7/1,65.1
2019/7/2,62.72
2019/7/3,63.53
2019/7/4,63.62
2019/7/5,64.23
2019/7/8,64.89
2019/7/9,64.3
2019/7/10,66.41
2019/7/11,67.64
2019/7/12,66.65
2019/7/15,66.86
2019/7/16,65.87
2019/7/17,63.67
2019/7/18,60.7
2019/7/19,61.04
2019/7/22,61.96
2019/7/23,62.28
2019/7/24,63.83
2019/7/25,63.47
2019/7/26,62.46
2019/7/29,62.29
2019/7/30,62.55
2019/7/31,64.07
2019/8/1,62.9
2019/8/2,61.12
2019/8/5,59.32
2019/8/6,58.63
2019/8/7,55.03
2019/8/8,56.29
2019/8/9,57.37
2019/8/12,57.13
2019/8/13,59.9
2019/8/14,57.86
2019/8/15,57.37
2019/8/16,59
2019/8/19,59.79
2019/8/20,59.03
2019/8/21,60.6
2019/8/22,59.81
2019/8/23,58.64
2019/8/26,58.64
2019/8/27,58.44
2019/8/28,60.42
2019/8/29,60.59
2019/8/30,61.04
2019/9/2,58.55
2019/9/3,57.93
2019/9/4,60.68
2019/9/5,62.7
2019/9/6,61.28
2019/9/9,63.99
2019/9/10,64.67
2019/9/11,63.02
2019/9/12,60.76
2019/9/13,61.25
2019/9/16,68.42
2019/9/17,65.59
2019/9/18,64.29
2019/9/19,64.25
2019/9/20,65.23
2019/9/23,64.66
2019/9/24,64.13
2019/9/25,62.41
2019/9/26,62.08
2019/9/27,62.48
2019/9/30,60.99
2019/10/1,60.06
2019/10/2,57.92
2019/10/3,58.01
2019/10/4,59.13
2019/10/7,59.46
2019/10/8,58.14
2019/10/9,59.7
2019/10/10,59.08
2019/10/11,60.59
2019/10/14,58.81
2019/10/15,59.19
2019/10/16,59.3
2019/10/17,59.35
2019/10/18,59.96
2019/10/21,58.95
2019/10/22,60.5
2019/10/23,60.52
2019/10/24,61.71
2019/10/25,62.06
2019/10/28,60.39
2019/10/29,61.05
2019/10/30,60.22
2019/10/31,59.3
2019/11/1,60.17
2019/11/4,62.52
2019/11/5,62.72
2019/11/6,62.11
2019/11/7,62.6
2019/11/8,62
2019/11/11,62.58
2019/11/12,62.19
2019/11/13,62.27
2019/11/14,62.46
2019/11/15,63.32
2019/11/18,62.82
2019/11/19,62.37
2019/11/20,63.8
2019/11/21,64.99
2019/11/22,64.83
2019/11/25,64.67
2019/11/26,64.82
2019/11/27,65.03
2019/11/28,64.68
2019/11/29,64.5
2019/12/2,63.2
2019/12/3,62.95
2019/12/4,65.25
2019/12/5,65.67
2019/12/6,66.5
2019/12/9,66.44
2019/12/10,66.57
2019/12/11,65.37
2019/12/12,66.67
2019/12/13,67.44
2019/12/16,68.04
2019/12/17,68.99
2019/12/18,69.12
2019/12/19,69.7
2019/12/20,68.66
2019/12/23,67.49
2019/12/24,69.26
2019/12/25,.
2019/12/26,69.26
2019/12/27,68.91
2019/12/30,68.3
2019/12/31,67.77
2020/1/1,.
2020/1/2,67.05
2020/1/3,69.08
2020/1/6,70.25
